Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
81355968.0,0.09968955701999835,54.74,79.73,1.0,5.0,5.0,5.0,1.0,5.0,3.0,6.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,7.0,7.0,6.0,7.0,2.0,4.0,1.0,5.0,1.0,7.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,1.0,6.0,4.0,7.0,1.0,4.0,4.0,7.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,6.0
81466560.0,0.09982507095660291,40.65,66.74,1.0,4.0,1.0,3.0,2.0,4.0,5.0,1.0,6.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,3.0,3.0,1.0
81275264.0,0.09959066635214049,56.3,80.35,2.0,1.0,1.0,6.0,5.0,2.0,6.0,6.0,4.0,4.0,3.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,6.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,4.0,6.0,1.0,6.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,2.0,1.0
80920896.0,0.09915644142911993,59.8,82.85,7.0,1.0,4.0,6.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,6.0,4.0,7.0,7.0,1.0,1.0,7.0,1.0,7.0,2.0,2.0,6.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,7.0,3.0,1.0,2.0,7.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,6.0,1.0,3.0,2.0,1.0
81575040.0,0.09995799695344594,69.6,89.83,6.0,5.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,5.0,8.0,8.0,3.0,3.0,1.0,6.0,1.0,3.0,1.0,7.0,6.0,7.0,6.0,7.0,7.0,1.0,7.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,7.0,4.0,7.0,1.0,6.0,1.0,4.0,1.0,3.0,1.0,5.0,3.0,1.0,5.0,6.0,3.0,1.0,3.0,5.0,2.0
80329088.0,0.09843126933896804,57.72,83.16,2.0,4.0,3.0,6.0,7.0,5.0,5.0,5.0,7.0,1.0,4.0,2.0,2.0,1.0,4.0,7.0,1.0,5.0,7.0,6.0,5.0,7.0,2.0,2.0,6.0,7.0,4.0,2.0,1.0,4.0,2.0,5.0,1.0,7.0,6.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,7.0,7.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0
80046464.0,0.09808495594542302,52.59,78.36,2.0,8.0,7.0,1.0,4.0,4.0,8.0,8.0,3.0,7.0,4.0,6.0,6.0,1.0,3.0,7.0,4.0,4.0,2.0,1.0,5.0,5.0,6.0,4.0,2.0,2.0,7.0,1.0,4.0,2.0,2.0,1.0,6.0,7.0,2.0,1.0,7.0,6.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,6.0,1.0,2.0,7.0,1.0,6.0,2.0,5.0,6.0
81540288.0,0.09991541358100596,55.36,79.87,1.0,6.0,1.0,1.0,1.0,4.0,7.0,2.0,2.0,3.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,4.0,4.0,7.0,4.0,1.0,6.0,1.0,2.0,1.0,7.0,7.0,4.0,2.0,5.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,1.0,5.0,4.0,1.0,1.0,4.0,1.0,2.0,5.0,3.0,6.0,3.0,4.0,6.0,6.0
81571392.0,0.099953526875676,67.96,88.97,3.0,5.0,5.0,2.0,7.0,5.0,3.0,1.0,7.0,2.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,6.0,4.0,4.0,6.0,3.0,1.0,6.0,6.0,1.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,4.0,1.0,5.0,1.0,4.0,6.0,6.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0
80783744.0,0.09898838218945351,49.11,76.23,2.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,1.0,3.0,6.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,7.0,1.0,7.0,1.0,4.0,4.0,2.0,2.0,7.0,4.0,1.0,6.0,2.0,5.0,6.0,2.0,1.0,7.0,4.0,2.0,7.0,2.0,3.0,7.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0
81491136.0,0.09985518516473726,45.37,73.17,1.0,6.0,6.0,4.0,1.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,7.0,5.0,7.0,7.0,5.0,6.0,3.0,2.0,6.0,2.0,7.0,2.0,1.0,5.0,2.0,6.0,3.0,4.0,4.0,6.0,5.0,1.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0
80671040.0,0.09885028031308739,47.88,74.12,7.0,5.0,1.0,4.0,6.0,3.0,2.0,3.0,6.0,1.0,7.0,4.0,7.0,1.0,1.0,6.0,1.0,4.0,5.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,6.0,7.0,6.0,1.0,6.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0
81532864.0,0.09990631658063205,66.77,87.9,5.0,3.0,7.0,2.0,6.0,3.0,6.0,7.0,6.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,6.0,1.0,1.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,2.0,6.0,5.0,6.0,4.0,6.0,6.0,1.0,6.0,5.0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,1.0,1.0,2.0
