Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
80935296.0,0.09917408647294866,53.63,78.64,2.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,6.0,4.0,4.0,6.0,1.0,4.0,1.0,7.0,2.0,6.0,6.0,3.0,4.0,1.0,4.0,7.0,3.0,1.0,2.0,2.0,3.0,7.0,3.0,4.0,6.0,2.0,1.0,7.0,4.0,2.0,2.0,1.0,2.0,1.0,6.0,4.0,1.0,5.0,5.0,7.0,1.0
81585344.0,0.0999706229625856,55.08,79.93,1.0,4.0,6.0,5.0,7.0,3.0,5.0,1.0,7.0,4.0,6.0,2.0,3.0,4.0,1.0,1.0,7.0,5.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,7.0,7.0,4.0,1.0,6.0,1.0,7.0,1.0,1.0,7.0,2.0,5.0,3.0,3.0,6.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,5.0,6.0,6.0,3.0,5.0,1.0
81255552.0,0.0995665122476994,69.24,89.45,6.0,3.0,3.0,3.0,5.0,6.0,1.0,1.0,4.0,6.0,1.0,1.0,4.0,6.0,7.0,1.0,2.0,7.0,4.0,4.0,2.0,2.0,3.0,1.0,6.0,5.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,6.0,4.0,6.0,2.0,5.0,1.0,1.0,7.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,7.0,2.0
80865216.0,0.09908821392631555,47.71,74.53,5.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,6.0,1.0,2.0,6.0,5.0,1.0,5.0,2.0,4.0,2.0,6.0,5.0,6.0,3.0,3.0,4.0,1.0,1.0,2.0,6.0,1.0,5.0,4.0,2.0,5.0,5.0,1.0,5.0,6.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0
81360064.0,0.0996945760546874,49.19,75.04,1.0,4.0,2.0,2.0,6.0,1.0,5.0,1.0,6.0,3.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,5.0,6.0,1.0,7.0,2.0,6.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,6.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,6.0,1.0,6.0,5.0,5.0,1.0,4.0,1.0,6.0,1.0,1.0,6.0,5.0,6.0,4.0,1.0
81183040.0,0.09947765964921966,45.42,74.21,7.0,3.0,4.0,2.0,3.0,7.0,4.0,5.0,2.0,5.0,1.0,6.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,6.0,1.0,2.0,2.0,6.0,7.0,3.0,2.0,5.0,4.0,6.0,4.0,7.0,2.0,7.0,1.0,4.0,1.0,1.0,6.0,5.0,1.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,3.0,1.0
80943488.0,0.09918412454232678,57.67,81.85,2.0,7.0,5.0,1.0,5.0,1.0,4.0,1.0,3.0,4.0,7.0,7.0,4.0,2.0,2.0,4.0,7.0,1.0,1.0,5.0,6.0,3.0,1.0,7.0,1.0,3.0,5.0,1.0,5.0,7.0,2.0,7.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,7.0,3.0,6.0,2.0,1.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,7.0,7.0
80880832.0,0.09910734899606759,44.14,70.29,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,6.0,4.0,5.0,1.0,1.0,4.0,1.0,6.0,1.0,4.0,2.0,5.0,5.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,3.0,6.0,4.0,6.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,5.0,2.0,5.0,5.0,1.0,3.0,2.0,1.0
80766912.0,0.09896775709377816,72.12,91.51,5.0,4.0,5.0,7.0,1.0,7.0,6.0,1.0,3.0,7.0,2.0,7.0,1.0,6.0,3.0,1.0,2.0,6.0,2.0,6.0,5.0,3.0,1.0,1.0,3.0,7.0,7.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,2.0,6.0,6.0,6.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,3.0,5.0,3.0,3.0,1.0
80812416.0,0.09902351543227692,65.01,87.5,2.0,4.0,6.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,7.0,6.0,4.0,2.0,1.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,6.0,7.0,2.0,6.0,6.0,5.0,4.0,2.0,7.0,6.0,3.0,2.0,7.0,4.0,6.0,1.0,1.0,1.0,2.0,6.0,4.0,3.0,1.0,3.0,4.0,2.0,5.0,3.0,7.0
